,movie_info,movie_name,critics_score,audience_score,Description,Genre,Original Language,Director,Release Date (Streaming),Runtime,Rating,Producer,Writer,Release Date (Theaters),Box Office (Gross USA),Distributor,Sound Mix,Aspect Ratio,View the collection
0,"2022, Mystery & thriller/Horror, 1h 20m",The Ghosts of Monday,--,--,"Mark Huberman (Vikings Valhalla) stars as a television director who becomes embroiled in a supernatural conspiracy after traveling to Cyprus to make a tv pilot about a haunted hotel. Julian Sands (Warlock), Marianna Rosset (Survive or Sacrifice), Elva Trill (Jurassic World: Dominion) and Anthony Skordi (Onassis) also appear in the frightening profusion of suspense and scares.","Mystery & Thriller, Horror",English,Francesco,"Jan 23, 2023",1h 20m,,,,,,,,,
1,"2022, Horror/Mystery & thriller, 1h 42m",M3GAN,94%,79%,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's greatest ally. Designed by brilliant toy-company roboticist Gemma (Get Out's Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to. When Gemma suddenly becomes the caretaker of her orphaned 8-year-old niece, Cady (Violet McGraw, The Haunting of Hill House), Gemma's unsure and unprepared to be a parent. Under intense pressure at work, Gemma decides to pair her M3GAN prototype with Cady in an attempt to resolve both problems--a decision that will have unimaginable consequences.","Horror, Mystery & Thriller, Sci-Fi, Comedy",English,Gerard Johnstone,"Jan 24, 2023",1h 42m,PG-13 (Terror|Some Strong Language|A Suggestive Reference|Violent Content),"Jason Blum, James Wan, Couper Samuelson",Akela Cooper,"Jan 6, 2023  Wide",$73.2M,Universal Pictures,Dolby Digital,Scope (2.35:1),
2,"2022, Horror/Mystery & thriller, 1h 47m",The Menu,88%,76%,"A couple (Anya Taylor-Joy and Nicholas Hoult) travels to a coastal island to eat at an exclusive restaurant where the chef (Ralph Fiennes) has prepared a lavish menu, with some shocking surprises.","Horror, Mystery & Thriller, Comedy",English,Mark Mylod,"Jan 3, 2023",1h 47m,R (Some Sexual References|Language Throughout|Strong Violent Content),"Adam McKay, Betsy Koch, Will Ferrell","Seth Reiss, Will Tracy","Nov 18, 2022  Wide",$38.4M,Searchlight Pictures,"Dolby Digital, Dolby Atmos",Scope (2.35:1),
3,"2023, Horror/Mystery & thriller, 1h 32m",There's Something Wrong with the Children,63%,30%,"When Margaret (Alisha Wainwright) and Ben (Zach Gilford) take a weekend trip with longtime friends Ellie (Crew) and Thomas (Santos) and their two young children (Briella Guiza and David Mattle), Ben begins to suspect something supernatural is occurring when the kids behave strangely after disappearing into the woods overnight.","Horror, Mystery & Thriller",English,Roxanne Benjamin,"Jan 17, 2023",1h 32m,,"Paige Pemberton, Paul Uddo","T.J. Cimfel, David White",,,,,,
4,"2022, Comedy/Mystery & thriller, 1h 47m",Vengeance,81%,86%,"Vengeance, the directorial debut from writer and star B.J. Novak (""The Office""), is a darkly comic thriller about Ben Manalowitz, a journalist and podcaster who travels from New York City to West Texas to investigate the death of a girl he was hooking up with.","Comedy, Mystery & Thriller, Drama, Horror",English,B.J. Novak,"Sep 16, 2022",1h 47m,R (Language and Brief Violence),"Jason Blum, Adam Hendricks, Greg Gilreath",B.J. Novak,"Jul 29, 2022  Wide",$4.2M,Focus Features,,,
5,"2022, Horror/Mystery & thriller, 1h 23m",Sick,87%,66%,"As the pandemic steadily brings the world to a halt, Parker and her best friend Miri decide to quarantine at the family lake house alone--or so they think.","Horror, Mystery & Thriller",English,John Hyams,"Jan 13, 2023",1h 23m,R (Terror|Language Throughout|Strong Violence|Some Drug Use),"Ben Fast, Kevin Williamson, Bill Block","Kevin Williamson, Katelyn Crabb",,,,,,
6,"2022, Comedy/Drama, 2h 16m",White Noise,63%,32%,"At once hilarious and horrifying, lyrical and absurd, ordinary and apocalyptic, White Noise dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.","Comedy, Drama, Horror",English,Noah Baumbach,"Dec 30, 2022",2h 16m,R (Brief Violence and Language),"Noah Baumbach, David Heyman, Uri Singer",Noah Baumbach,"Nov 25, 2022  Limited",,Netflix,Dolby Digital,Scope (2.35:1),
7,"2022, Horror/Mystery & thriller, 1h 33m",The Offering,90%,79%,"In the wake of a young Jewish girl's disappearance, the son of a Hasidic funeral director returns home with his pregnant wife in hopes of reconciling with his father. Little do they know that directly beneath them in the family morgue, an ancient evil with sinister plans for the unborn child lurks inside a mysterious corpse.","Horror, Mystery & Thriller",English,Oliver Park,"Jan 13, 2023",1h 33m,R (Violence),"Les Weldon, Yariv Lerner, Jeffrey Greenstein, Jonathan Yunger, Hank Hoffman, Sam Schulte",Hank Hoffman,"Jan 13, 2023  Limited",,Decal,,,
8,"2022, Horror/Mystery & thriller, 1h 45m",X,94%,75%,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","Horror, Mystery & Thriller",English,Ti West,"Apr 14, 2022",1h 45m,R (Gore|Drug Use|Strong Sexual Content|Graphic Nudity|Language|Strong Bloody Violence),"Jacob Jaffke, Kevin Turen, Harrison Kreiss",Ti West,"Mar 18, 2022  Wide",$11.6M,A24,,,
9,"2022, Horror/Mystery & thriller, 1h 42m",Barbarian,92%,71%,"Traveling to Detroit for a job interview, a young woman books a rental home. But when she arrives late at night, she discovers that the house is double booked and a strange man is already staying there. Against her better judgement, she decides to spend the evening, but soon discovers that there's a lot more to fear than just an unexpected house guest.","Horror, Mystery & Thriller",English,Zach Cregger,"Oct 25, 2022",1h 42m,R (Language Throughout|Disturbing Material|Nudity|Some Strong Violence and Gore),"Arnon Milchan, Roy Lee, Raphael Margules, J.D. Lifshitz",Zach Cregger,"Sep 9, 2022  Wide",$40.8M,20th Century Studios,,Flat (1.85:1),
